round_epochs,loss,tp,fp,tn,fn,categorical_accuracy,precision,recall,auc,val_loss,val_tp,val_fp,val_tn,val_fn,val_categorical_accuracy,val_precision,val_recall,val_auc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,lr,optimizer,regularizer
100,1.4850437641143799,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7336454391479492,1.5100229978561401,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,128,0.4,100,128,5,RandomUniform,softmax,0.01,adam,l1
100,1.4851441383361816,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7328031659126282,1.5099849700927734,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,relu,64,0.6,100,128,1,RandomNormal,softmax,0.05,nadam,l1_l2
100,0.15406130254268646,11246.0,596.0,59219.0,717.0,0.9446626901626587,0.949670672416687,0.9400652050971985,0.9967177510261536,4.43361234664917,1538.0,3407.0,22228.0,3589.0,0.3079773783683777,0.31102123856544495,0.299980491399765,0.6614353060722351,relu,16,0,100,128,5,GlorotUniform,softmax,0.001,nadam,None
100,1.4855116605758667,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7337161898612976,1.5099034309387207,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,128,0.2,100,16,5,RandomNormal,softmax,0.01,adam,l2
100,1.392850637435913,853.0,702.0,59113.0,11110.0,0.43993982672691345,0.5485530495643616,0.07130318135023117,0.7904265522956848,1.3813390731811523,200.0,61.0,25574.0,4927.0,0.4441193640232086,0.7662835121154785,0.03900916874408722,0.7919421792030334,tanh,16,0.6,100,64,1,GlorotUniform,softmax,0.001,nadam,l1_l2
100,1.2461521625518799,2472.0,1762.0,58053.0,9491.0,0.4717880189418793,0.5838450789451599,0.20663712918758392,0.8383104801177979,1.4517874717712402,689.0,709.0,24926.0,4438.0,0.3893114924430847,0.49284693598747253,0.1343865841627121,0.7744126915931702,tanh,16,0,100,16,1,RandomNormal,softmax,0.05,nadam,None
100,1.120984673500061,4671.0,1995.0,57820.0,7292.0,0.5638217926025391,0.7007200717926025,0.39045390486717224,0.8723508715629578,1.356295108795166,1435.0,1156.0,24479.0,3692.0,0.4917105436325073,0.5538402199745178,0.279890775680542,0.812628448009491,sigmoid,256,0.6,100,128,1,RandomNormal,softmax,0.05,nadam,None
100,1.4851516485214233,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7329920530319214,1.509893536567688,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,128,0,100,128,5,GlorotUniform,softmax,0.05,nadam,l1
100,1.4852643013000488,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7324785590171814,1.5101348161697388,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,tanh,16,0.4,100,128,3,GlorotUniform,softmax,0.05,adam,l1_l2
100,1.4855619668960571,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7329990863800049,1.5099453926086426,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,128,0.2,100,64,5,GlorotNormal,softmax,0.01,adam,l1_l2
100,1.4852731227874756,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7330607771873474,1.5099092721939087,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,sigmoid,128,0.2,100,64,3,RandomNormal,softmax,0.001,adam,l1
100,1.4708962440490723,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7571145296096802,1.482541799545288,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7620817422866821,softmax,128,0.2,100,128,1,RandomNormal,softmax,0.001,adam,l1
100,1.425653100013733,214.0,185.0,59630.0,11749.0,0.40148791670799255,0.5363408327102661,0.017888490110635757,0.777601420879364,1.4187345504760742,0.0,0.0,25635.0,5127.0,0.43612247705459595,0.0,0.0,0.7794672846794128,tanh,128,0.6,100,16,1,RandomUniform,softmax,0.001,nadam,l2
100,1.4856129884719849,0.0,0.0,59815.0,11963.0,0.3672155737876892,0.0,0.0,0.7322933673858643,1.510298728942871,0.0,0.0,25635.0,5127.0,0.34094011783599854,0.0,0.0,0.7211819887161255,softmax,16,0.6,100,128,3,GlorotNormal,softmax,0.001,adam,l2
